O*NET-SOC Code,Title,ANALYTICAL,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Innovation,Analytical Thinking,Critical Thinking,Active Learning,Learning Strategies,Complex Problem Solving,Operations Analysis,"Judging the Qualities of Things, Services, or People",Analyzing Data or Information,Making Decisions and Solving Problems,Thinking Creatively,Updating and Using Relevant Knowledge,Developing Objectives and Strategies
13-1031.01,"Claims Examiners, Property and Casualty Insurance",NA,2.75,2.75,3.5,3.75,4,3.62,3.25,3.52,4.2,4,3.38,3,3.12,0.12,4.23,3.95,4.82,3.79,4.77,3.14
53-7061.00,Cleaners of Vehicles and Equipment,0,1,0.62,2.25,2.25,2.25,2.25,2.12,3.58,3.24,2.38,1.88,0.75,1.62,0.25,1.83,0.9,1.82,1.46,1.75,1.25
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",NA,2,1.5,2.5,2.38,2.38,2.75,2.75,3.47,3.6,2.12,2.12,2.12,2.12,0.38,3.42,2.23,4.28,2.12,3.59,2.05
21-2011.00,Clergy,NA,3.88,3.75,4.5,4,3.88,3.75,3.5,4.01,3.77,4.12,4.12,4.25,3.75,0.88,3.96,2.93,4.53,4.38,3.9,3.58
19-2041.01,Climate Change Analysts,1,3,3.5,3.88,4.12,4.12,3.62,3.38,3.93,4.68,4.25,4.12,3.38,4,2,3.86,5.46,5.11,5.04,5.61,4.5
15-2041.02,Clinical Data Managers,1,3.5,3.38,3.88,4.25,3.88,4,3.88,3.15,4.1,4.25,4,3.25,3.62,3.38,3.85,5.1,4.55,4.25,5.1,3.85
29-1141.04,Clinical Nurse Specialists,NA,3.5,3.38,4.38,4,4,3.75,3.38,4.19,4.15,4.12,4,3.5,3.5,3.88,5.04,5.27,5.54,5.08,6.19,4.84
19-3031.02,Clinical Psychologists,1,3.5,3.62,5,4.62,4.62,3.25,3.38,3.71,4.58,4,4.12,3.75,4,2.75,6.08,4.46,5.05,4.54,5.59,4.44
11-9121.01,Clinical Research Coordinators,NA,3.12,3.38,4.12,3.88,3.88,3.75,3.62,3.2,3.66,4,4.12,3.5,3.75,1.5,3.31,4.03,5.74,4.88,5.67,3.22
27-2022.00,Coaches and Scouts,NA,4.12,3.88,4,4.12,4,4,3.88,4.08,4.14,4.12,3.88,4,3.88,2.75,4.34,2.24,4.14,4.32,3.61,3.51
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",NA,2.12,2.12,2.88,2.75,2.88,3.12,2.88,2.76,3.37,2.75,2.12,2.5,2.62,0.62,4.2,3.54,4.2,3.03,3.79,3.21
51-2021.00,"Coil Winders, Tapers, and Finishers",NA,2,0.88,3,2.62,2.62,2.62,2.5,3.46,3.56,2.88,1.88,1.88,1.88,0.62,3.47,2.69,4.54,2.47,3.23,2.73
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",NA,2.12,2,3,3,2.88,2.88,2.88,3.01,3.33,2.88,2.12,1.75,2.75,0.5,2.38,2.39,3.14,1.93,3.57,1.57
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",NA,1.88,1.62,2.5,2.12,2,2.75,2.5,3.43,3.05,2.38,2,2.5,1.88,0.12,2.25,1.98,2.42,1.5,2.31,1.59
27-1021.00,Commercial and Industrial Designers,NA,4.25,4.88,4.12,4.62,4.12,4,4,4.79,4.52,4.12,4.25,3,3.88,4.25,2.86,3.26,3.74,5.26,4.12,2.43
49-9092.00,Commercial Divers,NA,3,3,3.75,3.5,3.5,3.25,3.12,4.05,3.96,3.75,3.12,3,3.12,1.75,3.27,2.77,4.4,3.8,4.48,3.01
53-2012.00,Commercial Pilots,NA,3,3,4.75,4.25,4,4,3.12,2.98,4.17,4,4,3.38,3.62,1.5,4.38,3.95,5.23,3.23,4.87,3.09
25-1122.00,"Communications Teachers, Postsecondary",NA,3.25,3.38,3.5,4.12,4,3.12,3.12,4.28,4.53,4.25,4.25,4.5,3.62,2.25,4.11,4.44,4.78,5.53,5.3,4.21
21-1094.00,Community Health Workers,NA,3.5,3,3.75,3.75,3.75,3.12,3.12,4.32,4.07,3.75,3.62,3.75,3.5,0.75,4.1,4.24,3.61,4.59,5.65,4.79
11-3111.00,Compensation and Benefits Managers,NA,3.25,3.12,3.25,3.38,3.38,3.25,3,3.62,4.57,4,3.75,3,3.25,3.12,4.29,5.29,4.95,4.19,5.24,4.38
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1,3.25,3.25,3.75,3.88,3.75,3.75,3.62,3.71,4.62,4,3.62,3.5,3.75,3.12,3.58,5.38,5.04,4,5.29,3.71
11-9199.02,Compliance Managers,NA,3.38,3,4.38,4.5,4.12,3.62,3.62,3.03,4.41,4.25,3.88,3.5,3.5,1.62,4.21,5.23,4.75,4.27,5.31,3.76
15-1111.00,Computer and Information Research Scientists,1,4.25,4,4.5,4.62,4.38,4.12,4.25,4.06,4.14,4.25,4.88,3.62,4,3.75,4.34,4.62,5.87,5.81,6.13,3.94
11-3021.00,Computer and Information Systems Managers,1,3.75,3.5,4,4,4,4,3.12,3.7,4.25,4,3.88,3.5,3.88,3.38,4.79,4.94,5.16,5.2,5.35,4.63
17-2061.00,Computer Hardware Engineers,NA,3.5,3.62,4,4.38,4,3.75,3.88,4.05,4.62,4,3.88,3,4.25,3.88,3.95,5.1,5,6.14,5.9,3.15
15-1143.00,Computer Network Architects,1,3.62,3.5,3.75,4.38,4,4.25,4,3.86,4.59,4.25,3.62,3.25,4.12,2.88,4.09,5.55,5.64,5.5,5.86,4.27
15-1152.00,Computer Network Support Specialists,NA,3.5,3.12,3.5,4,3.62,3.75,3.38,3.88,4.51,3.75,3.38,3.25,3.25,1.88,3.06,3.64,3.86,4.17,5.84,2.81
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",NA,3,3,3.25,3.5,3.12,3.75,3.38,3.6,4.07,3.5,3.62,2.75,3.38,2.88,3.68,3.74,3.9,4.1,5.19,2.84
43-9011.00,Computer Operators,NA,3,2.88,3.88,3.75,3.12,3.75,3,3.63,4.16,3.75,3.12,3.12,3.25,1,3.8,3.35,3.86,4.12,4.58,2.35
15-1131.00,Computer Programmers,1,3.38,3.25,3.75,3.88,3.88,4,3.12,4,4.74,3.88,3.25,2.62,3.88,3.75,3.75,5.72,4.98,5.77,5.44,3.86
25-1021.00,"Computer Science Teachers, Postsecondary",NA,3.12,3.5,3.5,4.38,4,4,3.75,4.25,4.45,4.5,4.38,4.5,4,2.62,3.73,3.02,4.44,6.02,6.09,3.54
15-1121.00,Computer Systems Analysts,1,4,3.75,4.12,4.25,4.12,3.88,3.62,3.72,4.71,4.25,4.12,3.12,3.88,3.62,3.32,4.32,4.75,4.55,5.25,3.22
15-1199.02,Computer Systems Engineers/Architects,NA,4,4,4.12,4.25,4,3.88,3.75,4.37,4.67,3.88,4,3.25,4,4.5,4.76,5.76,5.48,6,6.28,4.48
15-1151.00,Computer User Support Specialists,NA,3,3,3.5,3.5,3.62,3.75,3.12,3.39,4.38,4,3.25,3.12,3.25,2.75,2.83,3.23,3.89,4.21,5.52,2.75
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",NA,2.75,2.88,3,3.12,3.12,3.12,3,3.3,4.29,3.12,3,2.62,3.12,2,2.12,2.9,4.84,3.56,5.11,1.93
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",NA,3,3,3.75,3.12,3,3.38,3,3.52,3.85,4,3.12,3,3,2.38,3.11,3.45,3.9,3.76,4.49,2.8
39-6012.00,Concierges,NA,3.12,3,3.5,3,2.75,3,3.12,3.77,3.4,3.62,2.75,2.38,2.75,0.5,3.9,2.87,4.16,4.1,3.87,2.47
47-4011.00,Construction and Building Inspectors,NA,2.88,2.88,4.12,4,4,3.38,3.12,3.29,4.21,4,3.25,2.88,3.25,2,3.48,3.48,4.09,3.17,5.13,1.92
47-2031.01,Construction Carpenters,NA,2.62,2.75,3,3.12,3.12,2.88,2.88,3.72,3.67,3.12,2.75,2.38,2.62,2,2.64,2.61,3.21,2.89,3.35,2.18
47-2061.00,Construction Laborers,NA,2,2,2.88,2.75,2.75,3,3,2.71,2.8,2.38,2,2,2.62,0.62,3.3,2.55,3.9,3.24,4.08,2.7
11-9021.00,Construction Managers,NA,3.25,3.5,4,4,4,4,3.5,3.16,3.92,4,3.88,3.5,3.88,3.62,4.04,4.44,5.12,4.12,4.8,4.2
47-5041.00,Continuous Mining Machine Operators,NA,2.38,2.25,3.62,3,3.12,3,3,3.39,3.28,3.12,2.5,2.5,3,1.25,3.3,3.06,4.92,3.18,3.98,2.81
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",NA,2.75,2.75,3.12,3.25,3.12,3.38,3.12,3.41,3.65,3.12,3,2.38,3,0.75,4.12,3.72,4.64,3.91,5,3.21
53-7011.00,Conveyor Operators and Tenders,NA,2.25,2.12,3.12,3,3,3.5,3,2.52,2.5,2.88,2.62,2,2.75,1.75,3.57,3.07,3.95,3.17,3.84,2.74
35-2011.00,"Cooks, Fast Food",0,1.88,1.62,2.75,2.62,2.38,2.75,2.25,2.48,2.36,2.25,2.12,1.25,1.75,0.38,2.86,1.87,2.71,2.1,2.81,2.08
35-2012.00,"Cooks, Institution and Cafeteria",0,2.5,2.62,3,2.88,2.75,3.12,3,3.29,3.1,3,2.75,2.75,2.75,1.88,3.41,2.57,3.2,2.77,3.23,1.78
35-2013.00,"Cooks, Private Household",0,3.12,3.38,3.12,3.12,3,3,3.12,3.88,3.33,3,3.12,2.25,2.88,2,2.5,1.46,2.46,3.22,3.04,1.75
35-2014.00,"Cooks, Restaurant",0,2.38,3,3,2.88,2.88,3.12,2.88,3.67,3.22,3,2.75,2.38,2.12,0.75,2.89,3.04,3.23,3.21,4.07,2.89
35-2015.00,"Cooks, Short Order",0,2.25,2.38,2.88,2.88,2.75,3,2.88,3.28,3.32,2.75,2.62,2.25,2.12,0.25,2.9,2.82,3.43,3.03,3.14,2.52
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,NA,2.38,2.38,3.12,3,3,3,2.88,3.25,3.34,3.25,3.12,2.38,3,1.5,3.67,2.01,3.56,2.49,3.72,2.67
27-3043.04,Copy Writers,0,3.88,3.75,3.38,3.5,3.38,3.25,3.25,4.61,3.53,3.62,3.12,2.62,3,2.12,3.1,3.41,4.08,5.13,4.91,3.24
13-1041.06,Coroners,NA,3.38,3,4,4,4.5,4,3.88,3.68,4.26,4.12,3.75,3.38,3.25,1.25,3.87,4,4.74,3.42,5.23,3.52
33-3012.00,Correctional Officers and Jailers,NA,2.5,2.38,4,3.62,3.88,3.25,2.88,3.31,3.83,3.62,3,3,2.75,0.5,3.26,3.62,4.71,2.97,4.65,2.08
43-4021.00,Correspondence Clerks,NA,3,2.75,3.38,3.12,3.12,3.25,2.75,3.62,3.81,3.75,2.75,2.25,2.88,0.88,2.48,2.72,3.69,3,3.87,2.71
13-1051.00,Cost Estimators,1,3.62,3,3.25,4.25,4,3.88,3.88,3.59,4.73,4.25,3.88,3,3.62,2.38,3.91,5.32,4.86,4.36,5.18,3.45
39-3092.00,Costume Attendants,NA,3.12,3.12,3,2.88,2.88,3,3,4.07,3.69,2.88,2.25,1.62,2.38,2.12,2.86,2.17,3.36,4.49,3.23,1.99
19-3031.03,Counseling Psychologists,NA,3.75,4,4.62,4.25,4.62,3.75,3.62,3.57,4.21,4.12,4,3.88,4,3.12,4.58,4.04,5.48,4.85,5.98,4.65
41-2021.00,Counter and Rental Clerks,NA,2.38,2.25,2.88,2.75,2.75,2.62,2.88,2.64,2.79,2.88,2.25,2.5,2.38,0,2.58,2.13,3.18,2.01,3.39,1.86
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0,2.5,2.38,2.75,2.5,2.12,2.62,2.5,2.96,3.38,2.5,2.12,2,2.5,0,1.76,0.59,1.72,1.42,1.47,0.79
43-5021.00,Couriers and Messengers,NA,1.75,1.88,2.62,2.88,2.25,3,2.75,2.14,2.69,2.62,2.25,1.88,2.38,0.38,2.53,2.19,3.12,2.25,3.21,0.66
43-4031.01,Court Clerks,NA,1.75,1,3.12,3,3,3,3,2.5,2.85,3.62,2.88,1.88,3,0.25,2.28,3.38,3.88,2.4,4.48,2.7
23-2091.00,Court Reporters,NA,1.25,0.88,2.88,3,2.62,3.38,2.5,2.58,2.43,3,2.88,1.62,2.25,0.38,1.59,2.03,2.98,1.89,4.7,1.72
27-1012.00,Craft Artists,NA,3.62,3.88,2.5,3,2.75,3,3.5,4.24,3.6,3.12,2.62,2.25,2.88,2.38,3.08,2.16,3.8,5.68,3.8,2.96
53-7021.00,Crane and Tower Operators,NA,2.12,2.12,2.88,3,2.5,2.75,2.5,2.98,3.33,3,2.38,2.25,2.25,1.12,3.38,2.89,4.19,3.34,4.41,2.54
13-2041.00,Credit Analysts,1,3,2.75,4.25,4.75,4,3.62,3.62,2.6,4.43,4.38,3.88,2.62,3.38,2.75,3.33,4.2,4.23,2.27,3.93,2.33
43-4041.01,Credit Authorizers,NA,2.25,2,3.5,3.5,3.5,3.38,3.25,3.72,3.74,3.5,3,2.62,3.25,0,2.23,3.32,3.35,2.28,4.45,2.72
43-4041.02,Credit Checkers,NA,2.13,1.88,3.13,3.25,3.38,3.13,2.63,2.69,3.23,3.5,3,1.88,2.88,0,2.83,3.04,4.29,2.21,5.15,2.85
13-2071.00,Credit Counselors,NA,3.5,3.25,4,3.62,3.62,3,3,3.06,3.84,3.75,3.5,3.25,3.25,1,2.18,3.38,3.66,3.18,4.7,3.15
33-3021.03,Criminal Investigators and Special Agents,NA,3.75,3,4.25,4.25,4.12,3.62,3.75,3.69,4.08,4.12,3.62,3,3.88,2.38,4.58,4.45,5.18,4.47,4.81,2.92
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",NA,3.25,3.25,3.5,4,4,3.38,3.25,4.04,4.06,4.12,4,4,3.62,2.38,4.47,5.02,5.14,5.3,5.83,4.33
29-1141.03,Critical Care Nurses,NA,3.5,3.25,4.88,4,4,4,3.88,3.65,4.5,4,4,3.62,3.38,2.62,3.4,4.25,5.05,3.3,5.05,2.89
33-9091.00,Crossing Guards,0,0.88,0.88,3.12,2.62,2.62,2.38,1.88,2.63,3.13,2.5,1.62,0.88,1.88,0.25,2.35,2.17,2.79,1.89,2.53,2.23
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",NA,2.25,2.12,3,3,3,3.25,3.12,3.14,3.35,3,2.88,2.75,2.88,0.62,3.35,3.11,2.95,2.17,3.24,2.27
25-4012.00,Curators,1,4,4.12,4.12,4.38,4,3.75,4.12,4.06,4.26,4.38,4.12,3.5,3.62,2.38,5.16,4.44,4.37,5.23,4.87,4.1
43-4051.00,Customer Service Representatives,NA,2.75,2.75,3.12,3,3,3,3,3.02,3.61,3.25,2.88,2.88,3,0.75,3.3,3.3,4.41,3.54,4.69,2.28
13-1199.03,Customs Brokers,NA,3,3,3.12,3.25,3.12,3.38,3.62,2.95,3.68,3.88,3.62,3,3.12,0.75,3.11,4.22,4.26,3.53,5,3.26
51-9031.00,"Cutters and Trimmers, Hand",0,1.63,1.25,2.75,2.63,2.5,2.75,3,3.34,3.24,2.38,1.75,1.12,2.12,0.25,3.7,1.46,2.8,1.64,1.01,1.7
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",NA,2.25,2,2.88,2.88,2.88,3.12,2.88,2.78,2.88,2.88,2,1.88,2.75,0.62,3.14,2.84,3.69,2.28,3.16,2.13
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",NA,1.75,1.88,3,3,3,3,3.12,3.57,3.31,2.75,2.25,2,2.62,1.25,2.85,2.88,3.65,3.56,3.39,2.56
29-2011.01,Cytogenetic Technologists,1,2.88,2.62,4.12,4.12,4.12,4,3.88,2.8,3.96,3.62,3.38,3.38,3.25,0.88,3.5,4.2,4.4,2.64,5.04,2.27
29-2011.02,Cytotechnologists,NA,2.25,2.25,4.12,3.75,3.88,3.62,3.75,2.62,4,3.62,3.5,3.12,3.12,0.38,3.58,4.31,4.81,2.27,5.04,2.19
27-2031.00,Dancers,0,3.13,3.5,2.88,2.75,2.5,3.13,3,3.63,3.01,2.5,3,3.5,2.38,1,2.04,1.96,3.24,4.37,3.36,2.37
43-9021.00,Data Entry Keyers,NA,2.38,2,2.88,2.75,2.88,3,3,4.34,4.59,2.88,2.12,2.12,2.5,0.25,3.85,3.87,4.11,3.2,4.61,2.88
15-1199.07,Data Warehousing Specialists,1,3.25,3.25,3.5,4,3.88,4,3.5,3.96,4.91,3.88,3.25,2.75,3.5,3.38,3.13,6,4.91,5.52,5.52,3.74
15-1141.00,Database Administrators,NA,3.75,3.75,4,4.12,3.88,4,3.88,3.76,4.56,4.12,3.88,3.38,4,3.38,3.49,5.08,4.85,5.13,5.42,3.93
15-1199.06,Database Architects,1,3.5,3.5,4,4.38,3.88,4,3.5,3.92,4.88,4.25,3.62,3.12,4,3.12,3.79,5.92,5.5,5.83,5.67,4.71
41-9011.00,Demonstrators and Product Promoters,NA,3,3,3,3,3,3,3,3.15,2.74,3,3,2.75,2.38,2,3.03,2.2,3.74,3.01,2.67,2.26
31-9091.00,Dental Assistants,0,2.75,2.38,3.25,3.12,3.12,3,3,3.4,3.59,3.25,3,2.75,2.88,1,3.89,3.21,4.01,3.27,4.54,2.33
29-2021.00,Dental Hygienists,NA,2.5,2.38,4,3.25,3.5,3,3,3.27,3.3,3.38,3.12,3,3,1.38,3.31,2.94,4.1,3.17,5.41,3.19
51-9081.00,Dental Laboratory Technicians,NA,2.5,2.5,3.12,3,3,3.12,3.12,3.69,3.75,3.12,3,3,2.75,1.88,3.48,3.13,4.19,4.21,4.37,2.69
29-1021.00,"Dentists, General",NA,3.75,3.88,5.12,4.88,5.25,4,4,3.25,3.78,4.38,4.5,3.75,4.12,2.38,4.71,4.33,5.34,4.51,6.02,3.97
29-1069.02,Dermatologists,NA,3.62,3.5,5,4.88,5.5,3.75,4,3.78,4.42,4.25,4.12,3.38,3.62,1.75,3.74,3.93,5.09,2.77,5.16,2.66
47-5011.00,"Derrick Operators, Oil and Gas",NA,2.13,2,3.38,2.88,2.88,3.13,2.5,3.52,3.57,3.12,2.62,2.88,2.88,0.38,3.01,2.12,3.47,2.74,2.99,1.88
43-9031.00,Desktop Publishers,NA,3.75,3.62,3.38,3.5,3.12,3.75,3.62,4.45,4.05,3.75,3.25,3.25,3.5,3,3.49,3.26,3.74,4.07,4.72,2.51
29-2032.00,Diagnostic Medical Sonographers,NA,2.88,2.88,3.5,3.38,3.38,3.12,3.25,3.64,4.04,3.5,3.12,3,3,2,3.09,4.01,4.51,3.23,5.54,2.79
29-2051.00,Dietetic Technicians,NA,3,3,3.12,3.25,3.12,3.12,3.62,2.99,3,3.25,3,3,3,2,4.37,3.42,3.58,3.55,3.93,2.92
29-1031.00,Dietitians and Nutritionists,NA,3.88,3.88,4,4,4,3.88,3.88,3.65,4.17,4,4,3.88,4,3.5,3.59,4.05,4.64,3.95,4.86,3.36
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0,1.5,1.75,2.12,2,2.12,2.25,2.25,2.66,2.91,2.12,1.62,1.75,1.75,0.25,3.14,2.56,2.66,2.87,3.13,2.45
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",NA,3.88,4.12,3.62,3.88,3.75,3.5,3.5,4.04,4.31,3.62,3.25,3,3.12,0,3.5,2.96,4.36,4.73,5.04,2.68
21-2021.00,"Directors, Religious Activities and Education",NA,3.62,3.25,3.62,3.88,3.62,3.12,3,4.05,3.03,3.88,3.75,3.75,3.75,2.62,4.53,3.4,5.45,5.51,5.11,4.62
35-9021.00,Dishwashers,0,1.75,1.88,2,2,2,2.12,2.12,2.33,2.46,2.12,2,1,2,0,2.79,2.18,2.85,2.48,3.04,2.71
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",NA,2.75,2.88,3.25,3.5,3.38,3.12,3,3.25,3.82,3.88,3,2.88,3,1.38,3.62,3.18,4.48,3.7,4.4,3.17
11-9039.01,Distance Learning Coordinators,NA,3.75,3.62,3.62,4.38,3.88,3.5,3.38,4.36,4.14,4.12,4.38,4.25,3.5,2.5,4.33,4.27,5.45,5.27,5.82,4.64
15-1199.12,Document Management Specialists,NA,3.25,3.38,3.5,3.5,3.5,3.5,3.38,3.76,4.32,3.75,3.38,3.12,3.5,2.25,3.48,4.28,4.25,4.68,5.28,3.33
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",0,3,3,2.88,2.88,2.88,2.88,2.75,2.38,2.42,3.12,2.62,2,2.25,1.12,2,1.08,2.21,2.54,2.62,2.39
53-7031.00,Dredge Operators,NA,2,1.75,2.75,2.62,2.38,2.88,2.25,3.09,2.81,2.75,2.12,2.5,2.5,1,1.76,1.59,2.92,1.81,2.38,1.71
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",NA,2.25,2.12,2.88,3,2.88,3,3,2.98,3.39,3.12,2.38,2.12,2.75,1.88,3.49,2.98,3.93,3.68,4.27,2.17
53-3031.00,Driver/Sales Workers,NA,2.88,2.25,2.88,2.75,2.5,2.75,2.62,2.11,2.11,3.5,2.38,2.12,2.75,0.25,2.84,1.36,2.2,2.43,2.58,1.92
47-2081.00,Drywall and Ceiling Tile Installers,NA,2.25,2.12,2.88,2.88,2.75,2.88,2.75,3.35,3.39,2.62,2,1.88,2.5,1.5,2.66,1.85,2.75,2.53,2.28,1.57
47-5021.00,"Earth Drillers, Except Oil and Gas",NA,2.12,2.12,3.62,3.12,3.12,3.12,3.12,3.63,3.58,3,2.25,2,2.75,1.38,3.69,3.37,4.54,3.7,3.98,3.36
25-1063.00,"Economics Teachers, Postsecondary",NA,3.38,3.12,4,4.12,4,3.25,3.25,4.34,4.79,3.88,4,3.88,3.5,3.12,4.48,5.26,4.48,4.66,5.58,3.88
19-3011.00,Economists,NA,3.88,3.25,3.88,4.25,4.12,3.62,3,3.87,4.87,4.5,4.12,3.5,4.12,2.75,4.12,6.58,5.83,5.38,6.04,3.96
27-3041.00,Editors,NA,4.25,3.88,3.38,3.75,3.62,3.62,3.62,4,3.84,4,3.88,3,3.12,1.5,3.4,3.62,3.92,4.56,4.71,2.74
11-9032.00,"Education Administrators, Elementary and Secondary School",NA,3.88,4,4.5,4.5,4.12,3.75,4,4.17,4.38,4.38,4.12,4.62,4.25,2.38,4.56,4.73,5.51,4.78,4.68,4.75
11-9033.00,"Education Administrators, Postsecondary",NA,3.88,4,3.88,4,4.12,3.88,3.75,3.97,4.18,4.25,4,4,4,0.88,4.86,4.87,5.53,4.71,5.34,4.71
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",0,3.62,3.5,4,4.12,3.88,3.62,3.12,3.97,3.56,4,3.88,3.88,3.5,1,3.74,2.8,4.49,4.54,4.23,3.56
25-1081.00,"Education Teachers, Postsecondary",NA,3.12,3.25,3.62,4,4,3.38,3.12,4.28,4.75,4,4,4.25,3.88,2.75,5.02,5.67,5.15,5.66,6.2,5.38
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",NA,3.88,3.75,4.38,4,4,3.12,3.5,3.84,4.1,4,3.88,3.62,3.75,0.25,4.41,4.31,5.42,4.24,5.34,4.9
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",NA,2.88,2.88,3.12,3.25,3.25,3.38,3.25,3.62,3.91,3.38,3.12,2.75,3,1.25,3.25,3.06,3.83,3.86,4.21,2.75
51-2022.00,Electrical and Electronic Equipment Assemblers,NA,2.38,2.12,3,3,3.12,3.12,2.88,3.03,2.72,3,2.75,2,2.5,0.62,2.7,3.11,3.72,2.36,3.71,3.32
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",NA,2,2.13,3.38,3.25,3,3.38,3.25,3.32,3.54,3,2.25,1.88,3,1.12,2.34,3.56,3.49,3.68,5.45,1.84
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",NA,3,3,3.88,4,3.62,3.88,4,3.97,4.25,3.62,3,3,3.5,2.12,3.61,3.91,4.39,4.02,4.82,2.96
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",NA,2.88,3,3.25,3,3,3.12,3,3.96,4.61,3.38,3,2.25,3,2.25,3.83,3.84,4.66,3.61,5.08,2.28
17-3012.02,Electrical Drafters,NA,3.12,3,3.5,3.62,3.5,3.62,3.25,3.38,3.95,3.38,3,2.38,3.25,3,1.84,2.51,3.22,3.2,4.98,2.17
17-3023.03,Electrical Engineering Technicians,NA,3.12,3,3.88,3.88,3.62,3.88,3.62,3.79,4.24,3.88,3.25,2.88,3.25,2.25,3.52,4.06,4.53,4.62,4.98,2.81
17-3029.02,Electrical Engineering Technologists,NA,3.12,3,3.75,3.88,3.75,3.88,3.75,3.76,4.54,3.88,3.5,3,3.75,2.25,4.09,4.76,5.11,5.2,5.38,3.62
17-2071.00,Electrical Engineers,NA,3.62,3.38,4.25,4,4,4,3.5,3.56,4.43,4,3.38,3,3.75,3.25,3.91,5.02,5.23,5.06,5.41,3.45
49-9051.00,Electrical Power-Line Installers and Repairers,NA,3,3,3.75,3.12,3.12,3.88,3.12,3.26,3.45,3.38,3,2.88,3.25,1.62,3.13,3.1,5.38,3.8,4.64,3.16
47-2111.00,Electricians,NA,2.88,2.88,3.75,3.88,3.62,3.88,3.25,3.59,4.17,3.62,3.25,3.5,3.12,2.75,3.93,2.94,3.9,3.69,4.53,2.91
17-3029.03,Electromechanical Engineering Technologists,NA,3.25,3.38,4.12,3.75,3.75,3.75,3.25,3.72,4.43,3.88,3.88,3.12,3.5,2.25,3.37,4.35,4.13,4.9,5.09,2.6
51-2023.00,Electromechanical Equipment Assemblers,NA,2.12,2,3.25,3,3,3.62,3,3.21,3.57,2.88,2.12,1.62,2.12,0.75,3.3,3.22,3.76,2.61,4.23,2.31
17-3024.00,Electro-Mechanical Technicians,NA,2.88,2.5,3.75,3.88,3.5,3.88,3,3.54,4.23,3.75,3,3,3.12,2.25,2.53,3.85,4.17,3.82,4.25,2.34
17-3012.01,Electronic Drafters,NA,3.12,3,3.38,3.5,3.5,3.12,3,3.86,3.96,3.62,3.25,2.88,3,3,2.19,2.97,4.02,3.65,4.18,2.47
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",NA,3,2.88,3.12,3.12,3.12,3.25,3.25,3.68,3.89,3.12,2.38,2.25,3,1.75,3.04,3.51,4.73,4.79,5.72,2.39
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,NA,2.88,2.88,3.13,3.25,3,3.38,2.63,3.47,3.58,3.62,3.12,2.88,3.25,2.38,2.9,2.89,4.21,3.66,4.83,2.23
17-3023.01,Electronics Engineering Technicians,NA,2.88,3,3.88,4,3.88,3.88,3.5,3.62,4.17,3.38,3,2.38,3.12,3,3.73,3.95,4.17,4.08,4.56,2.51
17-3029.04,Electronics Engineering Technologists,NA,3.25,3.12,3.88,4,4.12,4,3.62,3.45,4.29,4,3.75,3.25,3.88,3,3.62,4.22,4.88,4.69,5.72,2.91
17-2072.00,"Electronics Engineers, Except Computer",NA,3.75,3.88,4.12,4,4,4,3.88,4.3,4.53,4,3.75,3.12,4.12,3.38,4.14,4.77,4.76,5.81,5.85,3.53
25-2021.00,"Elementary School Teachers, Except Special Education",NA,3.62,3.88,4,4,3.75,3.38,3.25,4.02,3.93,4,3.88,4.5,3.38,1.62,3.29,3.61,4.31,4.43,4.63,3.82
